repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
limbas/limbas,58,0,0,0,0,0.000,121,151,4728,1,PHP,false,0.000,0,0,Database Management
LimeSurvey/LimeSurvey,3574,29,18,11,0,8.114,1,2,5199,238,JavaScript,false,75.000,21,95,Polls and Events
Kovah/LinkAce,3283,20,10,3,2,6.092,0,12,2803,22,PHP,false,57.000,2,18,Bookmarks and Link Sharing
sissbruecker/linkding,10514,184,100,49,5,17.500,0,57,2494,116,Python,false,66.000,0,0,Bookmarks and Link Sharing
LinkStackOrg/LinkStack,3548,51,27,9,2,14.374,0,67,1532,31,PHP,false,40.000,0,0,Personal Dashboards
linkwarden/linkwarden,18097,462,264,85,12,25.529,0,3,1478,77,TypeScript,false,98.000,2,13,Bookmarks and Link Sharing
GameServerManagers/LinuxGSM,4794,16,8,7,1,3.338,0,6,4642,216,Shell,false,67.000,5,14,Games
jeffrpowell/listaway,8,2,1,1,0,250.000,2,20,768,2,Go,false,24.000,1,3,Task Management & To-do Lists
knadh/listmonk,19631,312,143,67,15,15.893,0,0,2496,238,Go,false,100.000,7,22,Communication
Litlyx/litlyx,1692,9,5,3,1,5.319,0,143,696,8,TypeScript,false,22.000,0,0,Analytics
sethcottle/littlelink,2932,34,19,9,1,11.596,0,88,2317,42,HTML,false,35.000,0,0,Personal Dashboards
LiveHelperChat/livehelperchat,2207,7,5,1,0,3.172,2,1,4886,61,PHP,false,62.000,2,80,Communication
livebook-dev/livebook,5769,32,14,11,3,5.547,0,0,1934,167,Elixir,false,95.000,5,29,Note-taking & Editors
live-codes/livecodes,1429,15,6,4,1,10.497,0,50,1932,22,TypeScript,false,37.000,0,0,Software Development
explodingcamera/liwan,174,5,2,1,0,28.736,3,15,680,2,Rust,false,28.000,2,11,Analytics
av/harbor,2872,341,67,23,4,118.733,0,0,637,17,TypeScript,false,100.000,3,104,Generative Artificial Intelligence (GenAI)
defilantech/LLMKube,62,26,15,10,3,419.355,0,0,164,3,Go,false,95.000,4,50,Generative Artificial Intelligence (GenAI)
epoupon/lms,1586,27,12,7,3,17.024,0,42,4226,16,C++,false,41.000,0,0,Media Streaming
lobehub/lobehub,75659,1658,742,388,49,21.914,0,0,1071,326,TypeScript,false,100.000,27,518,Generative Artificial Intelligence (GenAI)
Tanq16/local-content-share,445,9,3,0,0,20.225,8,87,1099,2,HTML,false,7.000,0,0,Pastebins
