repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,liveness,unique-contributors,new-commits-last-30d,tag
keven1024/015,345,14,7,3,0,40.580,2,20,300,1,Vue,false,41.000,2,30,File Transfer
Bubka/2FAuth,3896,74,28,15,3,18.994,0,22,2537,21,PHP,false,52.000,1,9,Miscellaneous
RARgames/4gaBoards,488,19,14,11,0,38.934,1,0,1194,45,JavaScript,false,81.000,3,88,Task Management & To-do Lists
doublespeakgames/adarkroom,8069,47,27,16,0,5.825,1,337,4679,119,JavaScript,false,30.000,0,0,Games
mirego/accent,1481,14,9,7,0,9.453,2,30,2959,152,Elixir,false,27.000,0,0,Software Development
csa-admin-org/csa-admin,75,2,1,0,0,26.667,10,0,3381,3,Ruby,false,67.000,1,66,Community-Supported Agriculture (CSA)
activepieces/activepieces,21888,526,240,132,29,24.031,0,1,1240,397,TypeScript,false,100.000,24,366,Automation
ActivityWatch/activitywatch,17360,314,135,71,5,18.088,0,7,3650,32,Python,false,90.000,4,24,Time Tracking
actualbudget/actual,26081,468,201,99,13,17.944,0,0,1458,599,TypeScript,false,100.000,31,181,"Money, Budgeting & Management"
AdguardTeam/AdGuardHome,33696,523,237,105,11,15.521,0,1,3580,223,Go,false,100.000,6,28,DNS
Admidio/admidio,454,16,2,2,0,35.242,1,5,4128,41,PHP,false,56.000,2,28,Human Resources Management (HRM)
vrana/adminer,7359,48,22,9,1,6.523,0,38,5845,171,PHP,false,46.000,0,0,Database Management
seanmorley15/AdventureLog,3105,139,54,32,1,44.767,0,21,757,56,Svelte,false,70.000,1,1,Maps and Global Positioning System (GPS)
toeverything/AFFiNE,67705,1324,599,296,41,19.555,0,0,1364,237,TypeScript,false,100.000,14,51,Knowledge Management Tools
agenta-ai/agenta,4061,99,48,26,3,24.378,0,2,1096,80,TypeScript,false,100.000,10,654,Generative Artificial Intelligence (GenAI)
aimeos/aimeos,5343,43,21,11,0,8.048,1,10,3150,5,JavaScript,false,52.000,1,3,E-commerce
johanohly/AirTrail,1005,48,24,11,0,47.761,1,2,629,34,Svelte,false,80.000,5,27,Maps and Global Positioning System (GPS)
akaunting/akaunting,9762,109,60,25,3,11.166,0,2,3230,103,PHP,false,100.000,3,67,"Money, Budgeting & Management"
alephdata/aleph,2355,22,12,9,2,9.342,0,128,4259,64,JavaScript,false,35.000,0,0,Search Engines
alfio-event/alf.io,1574,7,4,3,0,4.447,3,4,4291,61,Java,false,42.000,1,1,Booking and Scheduling
Alfresco/alfresco-community-repo,213,7,2,2,0,32.864,1,0,2105,440,Java,false,72.000,13,61,Content Management Systems (CMS)
xyproto/algernon,3003,9,6,4,0,2.997,1,0,4064,14,Go,false,77.000,1,36,Web Servers
aliasvault/aliasvault,2406,98,55,17,2,40.732,0,0,695,7,TypeScript,false,100.000,3,132,Password Managers
ampache/ampache,3793,17,6,3,2,4.482,0,2,4783,127,PHP,false,77.000,4,11,Media Streaming
melmothx/amusewiki,213,3,1,0,0,14.085,10,16,4438,13,Perl,false,23.000,1,13,Wikis
orangecoloured/analog,37,1,1,1,0,27.027,6,2,326,1,TypeScript,false,52.000,1,6,Analytics
muety/anchr,381,3,3,2,0,7.874,1,17,3447,5,JavaScript,false,24.000,1,3,Miscellaneous
anonaddy/anonaddy,4604,88,40,23,0,19.114,1,15,2500,11,PHP,false,52.000,1,3,Communication
DaveStephens/ansible-nas,3730,21,9,4,1,5.630,0,347,3162,77,Jinja,false,35.000,0,0,Self-hosting Solutions
apache/answer,15484,72,41,17,1,4.650,0,82,1305,122,Go,false,50.000,0,0,Communication
antville/antville,89,0,0,0,0,0.000,41,113,4039,5,JavaScript,false,0.000,0,0,Blogging Platforms
TecharoHQ/anubis,18797,833,444,158,17,44.316,0,1,404,171,Go,false,100.000,4,12,Miscellaneous
anycable/anycable,2312,21,14,3,0,9.083,5,12,3522,35,Go,false,47.000,3,8,Communication
Mintplex-Labs/anything-llm,59005,2357,954,468,58,39.946,0,1,1057,213,JavaScript,false,100.000,13,71,Generative Artificial Intelligence (GenAI)
apache/airflow,45199,468,213,129,11,10.354,0,0,4030,3803,Python,false,100.000,151,675,Automation
apache/solr,1610,19,14,7,0,11.801,1,0,1888,465,Java,false,81.000,17,47,Search Engines
oupala/apaxy,1921,0,0,0,0,0.000,37,563,4931,30,Shell,false,0.000,0,0,File Transfer
apostrophecms/apostrophe,4551,16,9,3,1,3.516,0,1,4824,113,JavaScript,false,81.000,5,29,Content Management Systems (CMS)
AppFlowy-IO/appflowy,70022,1376,525,239,26,19.651,0,37,1774,372,Dart,false,71.000,0,0,Task Management & To-do Lists
caronc/apprise,16432,265,121,54,3,16.127,0,0,3073,104,Python,false,100.000,3,30,Communication
appsmithorg/appsmith,39689,302,129,57,6,7.609,0,1,2126,335,TypeScript,false,100.000,6,34,Software Development
appwrite/appwrite,55880,721,246,138,17,12.903,0,1,2574,371,TypeScript,false,100.000,18,837,Software Development
aptabase/aptabase,1683,24,7,2,0,14.260,5,65,1127,9,TypeScript,false,25.000,0,0,Analytics
ArchiveBox/ArchiveBox,27292,220,91,52,10,8.061,0,2,3278,126,Python,false,100.000,2,33,Archiving and Digital Preservation (DP)
archivesspace/archivesspace,419,4,3,3,1,9.547,0,1,5036,102,Ruby,false,72.000,12,61,Archiving and Digital Preservation (DP)
ArtalkJS/Artalk,2233,19,13,6,3,8.509,0,13,2763,35,Go,false,53.000,2,2,Communication
asciinema/asciinema-server,2459,6,3,3,1,2.440,0,23,5526,46,Elixir,false,42.000,1,38,Miscellaneous
asterisk/asterisk,3205,78,28,14,1,24.337,0,1,4032,259,C,false,86.000,11,20,Communication
Atheos/Atheos,667,9,6,4,0,13.493,1,136,2414,93,JavaScript,false,17.000,0,0,Software Development
ontola/atomic-server,1536,21,9,4,1,13.672,0,51,2121,16,TypeScript,false,41.000,0,0,Knowledge Management Tools
Atsumeru-xyz/Atsumeru,176,7,3,2,0,39.773,3,22,1239,2,Java,false,24.000,1,7,Document Management
advplyr/audiobookshelf,12565,363,152,72,10,28.890,0,0,1712,345,JavaScript,false,100.000,13,41,Media Streaming
izderadicka/audioserve,828,3,2,0,0,3.623,8,0,3032,10,Rust,false,63.000,2,15,Media Streaming
macarooni-man/auto-mcs,436,12,7,4,0,27.523,1,2,1081,5,Python,false,63.000,1,6,Games
autokitteh/autokitteh,1123,16,7,4,0,14.248,2,67,799,11,Go,false,21.000,0,0,Software Development
marcantondahmen/automad,888,10,6,2,0,11.261,1,13,2436,1,TypeScript,false,47.000,1,60,Content Management Systems (CMS)
automatisch/automatisch,13801,120,45,27,5,8.695,0,100,1668,32,JavaScript,false,50.000,0,0,Automation
eldy/awstats,425,2,0,0,0,4.706,14,166,3907,55,Perl,false,4.000,0,0,Analytics
azimuttapp/azimutt,2112,13,5,3,0,6.155,1,292,1707,15,Elm,false,16.000,0,0,Database Management
AzuraCast/AzuraCast,3824,60,36,13,1,15.690,0,2,3647,60,PHP,false,100.000,3,25,Media Streaming
babybuddy/babybuddy,2745,33,13,8,0,12.022,1,6,3107,95,Python,false,61.000,4,15,Miscellaneous
backdrop/backdrop,1036,6,2,2,1,5.792,0,1,4630,240,PHP,false,72.000,7,24,Content Management Systems (CMS)
bagisto/bagisto,26561,419,210,115,11,15.775,0,1,2785,247,PHP,false,100.000,8,119,E-commerce
karlomikus/bar-assistant,1015,25,9,6,0,24.631,1,0,1300,7,PHP,false,81.000,1,13,Recipe Management
sabre-io/Baikal,3137,36,12,6,0,11.476,1,109,5171,62,PHP,false,25.000,0,0,Calendar & Contacts
daya0576/beaverhabits,1748,35,15,8,0,20.023,2,2,775,11,Python,false,67.000,2,2,Time Tracking
beelzebub-labs/beelzebub,1971,59,26,14,2,29.934,0,2,1448,18,Go,false,82.000,3,7,Network Utilities
beetbox/beets,15034,181,85,41,2,12.039,0,0,5738,565,Python,false,100.000,24,399,Media Streaming
bencherdev/bencher,827,15,8,3,1,18.138,0,2,2101,24,MDX,false,81.000,2,56,Software Development
bewcloud/bewcloud,1158,25,9,6,0,21.589,1,1,771,15,TypeScript,false,67.000,2,7,File Transfer & Synchronization
knrdl/bicimon,62,0,0,0,0,0.000,147,1471,1481,1,HTML,false,0.000,0,0,Maps and Global Positioning System (GPS)
bigbluebutton/bigbluebutton,9094,39,20,8,0,4.289,1,1,5815,226,JavaScript,false,75.000,15,115,Communication
bigcapitalhq/bigcapital,3622,55,29,11,1,15.185,0,12,1677,29,TypeScript,false,66.000,3,15,"Money, Budgeting & Management"
w4/bin,657,12,7,4,0,18.265,3,336,2631,10,Rust,false,21.000,0,0,Pastebins
querwurzel/BinPastes,15,1,0,0,0,66.667,16,11,1245,2,Java,false,28.000,2,15,Pastebins
sjdonado/bit,84,5,4,3,1,59.524,0,60,1777,1,Crystal,false,22.000,0,0,URL Shorteners
bitcart/bitcart,930,20,9,5,0,21.505,2,3,2610,16,Python,false,61.000,2,22,"Money, Budgeting & Management"
bitmagnet-io/bitmagnet,4001,87,45,16,1,21.745,0,299,936,28,Go,false,50.000,0,0,Archiving and Digital Preservation (DP)
fsinfuhh/Bitpoll,303,2,1,0,0,6.601,10,119,3210,20,Python,false,7.000,0,0,Polls and Events
webtorrent/bittorrent-tracker,1923,1,1,0,0,0.520,12,9,4414,67,JavaScript,false,25.000,1,1,File Transfer
bitwarden/server,18493,205,90,41,6,11.085,0,0,3806,242,C#,false,100.000,48,172,Password Managers
blackcandy-org/blackcandy,4175,18,11,5,2,4.311,0,4,3000,6,Ruby,false,67.000,1,14,Media Streaming
blinkospace/blinko,10128,271,125,56,7,26.758,0,11,549,70,TypeScript,false,88.000,8,11,Note-taking & Editors
0xERR0R/blocky,6568,361,42,24,3,54.963,0,3,2363,79,Go,false,82.000,2,10,DNS
bludit/bludit,1414,14,4,3,0,9.901,1,0,4066,7,PHP,false,76.000,4,46,Content Management Systems (CMS)
bluecherrydvr/bluecherry-apps,267,3,2,2,1,11.236,0,118,5547,26,C++,false,22.000,0,0,Video Surveillance
bolt/core,582,1,0,0,0,1.718,22,1,2889,109,PHP,false,48.000,4,20,Content Management Systems (CMS)
TheWicklowWolf/BookBounty,275,4,2,1,0,14.545,3,64,890,2,Python,false,12.000,0,0,Automation
Mozzo1000/booklogr,527,35,15,8,1,66.414,0,13,762,7,JavaScript,false,65.000,2,106,Document Management
BookStackApp/BookStack,18713,227,136,53,7,12.131,0,1,3892,188,PHP,false,100.000,1,37,Wikis
bookwyrm-social/bookwyrm,2689,18,5,2,0,6.694,1,1,2281,128,Python,false,66.000,4,21,Document Management
evroon/bracket,1650,18,8,5,0,10.909,1,1,1233,15,TypeScript,false,71.000,5,44,Polls and Events
ndom91/briefkasten,1174,9,4,2,0,7.666,4,352,1452,8,JavaScript,false,12.000,0,0,Bookmarks and Link Sharing
btcpayserver/btcpayserver,7529,79,32,12,2,10.493,0,1,3172,193,C#,false,100.000,9,44,"Money, Budgeting & Management"
georgemandis/bubo-rss,231,4,1,0,0,17.316,7,105,2341,4,TypeScript,false,7.000,0,0,Feed Readers
buddypress/BuddyPress,245,1,0,0,0,4.082,29,109,4760,20,PHP,false,2.000,0,0,Communication
Budibase/budibase,27871,165,83,47,6,5.920,0,1,2514,116,TypeScript,false,100.000,16,792,Software Development
bugsink/bugsink,1715,86,46,24,2,50.146,0,1,613,19,Python,false,100.000,4,48,Ticketing
bugzilla/bugzilla,820,12,3,2,0,14.634,2,66,4427,91,Perl,false,16.000,0,0,Ticketing
jarun/Buku,7113,27,11,5,0,3.796,2,6,3828,73,Python,false,57.000,3,4,Bookmarks and Link Sharing
bunkerity/bunkerweb,10358,162,83,34,3,15.640,0,43,2440,48,Python,false,66.000,0,0,Web Servers
bytebase/bytebase,13932,98,44,24,3,7.034,0,1,1915,103,Go,false,100.000,12,308,Database Management
jordan-dalby/ByteStash,2382,60,24,10,0,25.189,1,13,556,22,TypeScript,false,52.000,1,2,Pastebins
caddyserver/caddy,71853,886,441,216,36,12.331,0,0,4120,394,Go,false,100.000,18,32,Web Servers
calcom/cal.diy,42136,1511,1081,708,26,35.860,0,1,1860,939,TypeScript,false,100.000,28,70,Booking and Scheduling
crocodilestick/Calibre-Web-Automated,5471,271,100,47,4,49.534,0,45,671,97,JavaScript,false,66.000,0,0,Document Management
janeczku/calibre-web,17016,221,104,51,6,12.988,0,0,3919,273,Fluent,false,100.000,6,39,Document Management
kovidgoyal/calibre,24707,285,121,58,10,11.535,0,0,4715,377,Python,false,100.000,20,147,Document Management
thinkst/opencanary,2853,37,22,15,3,12.969,0,27,3916,53,Python,false,50.000,1,1,Network Utilities
instructure/canvas-lms,6564,71,32,11,1,10.817,0,1,5563,460,Ruby,false,100.000,85,733,Learning and Courses
IceWhaleTech/CasaOS,33691,315,108,57,7,9.350,0,263,1673,27,Go,false,62.000,0,0,Self-hosting Solutions
centrifugal/centrifugo,10211,113,58,33,2,11.066,0,2,4043,46,Go,false,100.000,2,3,Communication
chamilo/chamilo-lms,946,14,5,1,1,14.799,0,0,4775,76,PHP,false,86.000,5,737,Learning and Courses
dgtlmoon/changedetection.io,31257,539,188,101,10,17.244,0,0,1914,130,Python,false,100.000,8,47,Automation
TheWicklowWolf/ChannelTube,298,3,2,2,0,10.067,1,38,919,2,Python,false,18.000,0,0,Media Management
chartbrew/chartbrew,3840,161,149,112,81,41.927,0,1,2431,20,JavaScript,false,100.000,1,74,Database Management
chartdb/chartdb,22054,420,304,106,9,19.044,0,14,629,68,TypeScript,false,74.000,2,4,Database Management
chatwoot/chatwoot,28838,822,385,222,11,28.504,0,1,2447,328,Ruby,false,100.000,21,94,Communication
chevereto/chevereto,914,17,8,4,1,18.600,0,4,1242,5,PHP,false,63.000,1,3,Photo Galleries
SinTan1729/chhoto-url,804,51,22,10,2,63.433,0,3,1252,12,Rust,false,72.000,2,8,URL Shorteners
chibisafe/chibisafe,2673,64,23,11,3,23.943,0,128,3390,60,TypeScript,false,40.000,0,0,File Transfer
chiefonboarding/ChiefOnboarding,889,16,8,6,0,17.998,4,8,2112,18,Python,false,43.000,2,4,Automation
devrsi0n/chirpy,601,3,1,1,0,4.992,6,299,1609,6,TypeScript,false,12.000,0,0,Communication
jeremyckahn/chitchatter,2263,53,12,3,0,23.420,2,3,1357,17,TypeScript,false,57.000,2,4,Communication
rhee876527/chiyogami,74,2,1,0,0,27.027,12,5,449,1,HTML,false,39.000,1,9,Pastebins
Wingysam/Christmas-Community,410,2,1,0,0,4.878,10,116,1685,30,TypeScript,false,7.000,0,0,Polls and Events
HoshinoSuzumi/chronoframe,1749,57,26,16,0,32.590,1,9,247,11,Vue,false,60.000,6,82,Photo Galleries
xenocrat/chyrp-lite,484,4,4,4,0,8.264,4,51,4360,14,PHP,false,18.000,0,0,Blogging Platforms
ckan/ckan,5013,26,14,6,1,5.187,0,2,5280,305,Python,false,85.000,6,59,Archiving and Digital Preservation (DP)
ClaperCo/Claper,739,21,11,4,1,28.417,0,19,1373,21,Elixir,false,47.000,1,2,Polls and Events
clearflask/clearflask,436,5,2,1,0,11.468,4,1,1727,4,TypeScript,false,54.000,1,7,Polls and Events
MacWarrior/clipbucket-v5,160,6,1,1,0,37.500,2,2,2939,29,JavaScript,false,62.000,3,21,Media Streaming
Sathvik-Rao/ClipCascade,1669,140,121,48,3,83.883,0,262,601,1,Python,false,60.000,0,0,Miscellaneous
ipv6rslimited/cloudseeder,193,3,2,2,2,15.544,0,320,728,2,Shell,false,22.000,0,0,Self-hosting Solutions
dbeaver/cloudbeaver,4824,87,35,21,1,18.035,0,0,2207,82,TypeScript,false,100.000,12,58,Database Management
magicbug/cloudlog,555,8,5,1,0,14.414,1,9,5479,100,PHP,false,42.000,1,69,Miscellaneous
cloudreve/cloudreve,27440,248,119,56,8,9.038,0,12,3003,58,Go,false,82.000,1,1,File Transfer & Synchronization
farfalleflickan/cmyflix,192,3,2,0,0,15.625,8,128,1577,1,C,false,7.000,0,0,Media Streaming
cncjs/cncjs,2587,19,7,4,1,7.344,0,26,3901,46,JavaScript,false,41.000,1,1,Manufacturing
Cockpit-HQ/Cockpit,692,13,6,5,1,18.786,0,5,1922,16,PHP,false,71.000,2,23,Content Management Systems (CMS)
coder/code-server,77286,560,262,126,14,7.246,0,3,2614,261,TypeScript,false,100.000,4,38,Software Development
coder/coder,13016,365,167,78,23,28.042,0,0,1586,248,Go,false,100.000,49,607,Software Development
colanode/colanode,4777,73,34,19,6,15.282,0,23,636,5,TypeScript,false,64.000,1,3,Groupware
collectiveaccess/providence,366,3,1,1,1,8.197,0,1,5093,51,PHP,false,72.000,5,51,Archiving and Digital Preservation (DP)
Athou/commafeed,3513,34,11,5,0,9.678,3,0,4784,97,Java,false,85.000,3,89,Feed Readers
ComposioHQ/composio,27914,492,212,116,13,17.626,0,1,792,43,TypeScript,false,100.000,18,299,Software Development
concretecms/concretecms,828,1,0,0,0,1.208,17,9,4386,267,PHP,false,32.000,4,23,Content Management Systems (CMS)
contao/contao,425,7,3,1,0,16.471,2,1,2811,117,PHP,false,62.000,10,63,Content Management Systems (CMS)
conversejs/converse.js,3241,15,6,3,0,4.628,4,2,5027,301,JavaScript,false,71.000,2,29,Communication
C4illin/ConvertX,16628,376,237,78,6,22.612,0,3,748,32,TypeScript,false,94.000,2,2,Miscellaneous
cooklang/CookCLI,1263,92,32,13,5,72.842,0,1,1923,33,Rust,false,100.000,3,40,Recipe Management
9001/copyparty,44475,799,297,134,15,17.965,0,1,2526,113,Python,false,100.000,8,43,File Transfer
coralproject/talk,1981,5,2,1,0,2.524,6,17,3463,66,TypeScript,false,24.000,1,5,Communication
coreshop/CoreShop,289,1,1,1,0,3.460,2,2,4058,76,PHP,false,60.000,3,119,E-commerce
cortezaproject/corteza,2059,24,14,8,0,11.656,3,15,2531,34,Go,false,37.000,2,5,Customer Relationship Management (CRM)
azukaar/cosmos-Server,5878,82,34,15,2,13.950,0,2,1169,18,JavaScript,false,92.000,1,10,Self-hosting Solutions
CouchCMS/CouchCMS,372,1,0,0,0,2.688,15,198,4085,11,PHP,false,2.000,0,0,Content Management Systems (CMS)
Countly/countly-server,5853,17,6,4,0,2.904,1,4,5080,90,JavaScript,false,61.000,9,151,Analytics
craftcms/cms,3558,11,4,1,0,3.092,5,1,3375,244,PHP,false,66.000,6,117,Content Management Systems (CMS)
jhuckaby/Cronicle,5603,54,23,10,5,9.638,0,9,3761,11,JavaScript,false,66.000,1,15,Automation
fccview/cronmaster,1188,72,40,23,0,60.606,1,4,250,6,TypeScript,false,72.000,3,5,Automation
cryptpad/cryptpad,7527,93,54,22,3,12.356,0,24,4194,137,JavaScript,false,76.000,3,18,Office Suites
Kshitij-Banerjee/Cubiks-2048,25,0,0,0,0,0.000,857,4340,4408,1,JavaScript,false,0.000,0,0,Games
OpenPrinting/cups,1588,42,25,20,0,26.448,1,1,2060,132,C,false,80.000,10,78,Miscellaneous
gchq/CyberChef,34665,288,138,69,7,8.308,0,1,3435,215,JavaScript,false,100.000,8,29,Miscellaneous
cypht-org/cypht,1485,33,14,5,0,22.222,1,1,4453,100,PHP,false,75.000,9,66,Communication
cyrusimap/cyrus-imapd,629,5,1,1,0,7.949,6,2,3630,108,C,false,62.000,8,117,Communication
calzoneman/sync,1569,5,4,2,2,3.187,0,170,4817,26,JavaScript,false,22.000,0,0,Media Streaming
d8a-tech/d8a,10,3,2,2,0,300.000,2,3,246,2,Go,false,52.000,3,48,Analytics
dagucloud/dagu,3326,119,62,30,4,35.779,0,0,1464,71,Go,false,100.000,6,154,Automation
emanuelef/daily-stars-explorer,350,14,4,1,0,40.000,2,2,946,3,JavaScript,false,62.000,2,13,Analytics
PhiTux/DailyTxT,472,14,7,2,0,29.661,1,7,1961,13,Svelte,false,51.000,2,67,Note-taking & Editors
webreaper/damselfly,1758,6,3,1,0,3.413,4,101,2400,4,C#,false,12.000,0,0,Photo Galleries
lissy93/dashy,24824,557,298,169,34,22.438,0,6,1882,171,Vue,false,100.000,8,143,Personal Dashboards
balzack/databag,1446,13,8,4,0,8.990,1,8,1587,15,TypeScript,false,41.000,1,1,Communication
securitybunker/databunker,1413,18,7,3,0,12.739,2,41,2330,5,Go,false,27.000,0,0,Database Management
simonw/datasette,11003,139,70,38,5,12.633,0,3,3107,82,Python,false,100.000,2,35,Database Management
tchapi/davis,699,16,8,3,0,22.890,1,35,2370,14,PHP,false,27.000,0,0,Calendar & Contacts
mguessan/davmail,717,13,5,3,0,18.131,2,0,2873,1,Java,false,76.000,1,69,Communication
Freika/dawarich,8848,475,221,148,8,53.684,0,8,762,43,Ruby,false,92.000,3,31,Maps and Global Positioning System (GPS)
debops/debops,1388,5,3,2,1,3.602,0,2,3164,158,Jinja,false,72.000,4,26,Communication
rfsbraz/deleterr,294,19,13,4,0,64.626,3,19,997,6,Python,false,33.000,2,3,Media Management
diaspora/diaspora,13685,22,11,1,0,1.608,1,14,5702,362,Ruby,false,45.000,5,92,Communication
MichaIng/DietPi,6021,78,45,25,5,12.955,0,3,4060,121,Shell,false,90.000,4,53,Self-hosting Solutions
langgenius/dify,139193,4997,2034,998,106,35.900,0,0,1110,1291,TypeScript,false,100.000,99,695,Software Development
DirectoryLister/DirectoryLister,2511,12,6,4,1,4.779,0,4,5547,42,PHP,false,67.000,2,19,File Transfer
directus/directus,34917,405,177,94,11,11.599,0,2,4883,512,TypeScript,false,100.000,28,62,Database Management
Cybrarist/Discount-Bandit,676,12,3,1,0,17.751,3,84,1024,4,PHP,false,16.000,0,0,Automation
discourse/discourse,46906,324,183,70,7,6.907,0,1,4852,975,Ruby,false,100.000,41,531,Communication
dittofeed/dittofeed,2737,37,20,13,1,13.518,0,29,1303,29,TypeScript,false,45.000,1,1,Automation
DjangoCRM/django-crm,552,25,10,4,0,45.290,2,0,671,28,Python,false,85.000,3,54,Customer Relationship Management (CRM)
django-wiki/django-wiki,1919,4,2,2,0,2.084,1,196,5030,118,Python,false,12.000,0,0,Wikis
jhpyle/docassemble,936,9,3,1,1,9.615,0,13,4026,56,JavaScript,false,48.000,3,17,Polls and Events
docat-org/docat,895,4,1,1,0,4.469,5,15,2360,20,TypeScript,false,32.000,2,21,Miscellaneous
docker-mailserver/docker-mailserver,18174,160,90,53,2,8.804,0,3,4046,330,Shell,false,92.000,3,4,Communication
GhostWriters/DockSTARTer,2555,11,5,3,0,4.305,1,0,2892,79,Shell,false,76.000,2,23,Self-hosting Solutions
docmost/docmost,19922,402,179,74,7,20.179,0,3,996,51,TypeScript,false,100.000,3,46,Wikis
suitenumerique/docs,16444,172,78,42,4,10.460,0,2,837,70,Python,false,100.000,10,62,Note-taking & Editors
eikek/docspell,2202,17,9,4,0,7.720,4,5,2475,41,Elm,false,53.000,1,7,Document Management
documenso/documenso,12719,194,117,31,3,15.253,0,3,1140,153,TypeScript,false,100.000,10,30,Document Management
documize/community,2384,10,4,2,0,4.195,1,218,3648,27,JavaScript,false,12.000,0,0,Wikis
docusealco/docuseal,11773,154,76,31,3,13.081,0,5,1027,4,Ruby,false,100.000,2,55,Document Management
dokuwiki/dokuwiki,4604,21,12,6,1,4.561,0,0,5956,597,PHP,false,95.000,9,49,Wikis
Dolibarr/dolibarr,7136,118,73,31,2,16.536,0,0,5417,782,PHP,false,100.000,45,625,Resource Planning
lissy93/domain-locker,1314,90,23,10,2,68.493,0,40,567,8,TypeScript,false,46.000,0,0,Miscellaneous
DOMjudge/domjudge,883,15,8,4,0,16.988,1,2,4617,78,PHP,false,71.000,5,23,Miscellaneous
domoticz/domoticz,3738,22,6,2,0,5.886,1,0,3906,393,C++,false,85.000,12,270,Internet of Things (IoT)
donetick/donetick,2096,99,44,25,3,47.233,0,12,664,28,Go,false,76.000,3,18,Task Management & To-do Lists
dovecot/core,1197,14,8,2,0,11.696,3,1,3790,119,C,false,71.000,7,91,Communication
DarrenOfficial/dpaste,636,2,0,0,0,3.145,16,64,5503,30,Python,false,4.000,0,0,Pastebins
corecode/dma,256,0,0,0,0,0.000,36,104,5275,34,C,false,0.000,0,0,Communication
dreamfactorysoftware/dreamfactory,1761,6,3,2,0,3.407,5,2,4013,23,Shell,false,58.000,3,11,Software Development
Drop-OSS/drop,631,21,6,2,0,33.281,4,6,565,23,Vue,false,65.000,3,22,Games
teleclimber/Dropserver,84,1,0,0,0,11.905,16,176,2648,2,Go,false,2.000,0,0,Self-hosting Solutions
apache/druid,13981,29,10,6,0,2.074,1,0,4932,667,Java,false,85.000,18,81,Analytics
DSpace/DSpace,1059,10,2,2,0,9.443,3,1,5153,261,Java,false,62.000,11,122,Document Management
filipecarneiro/ELabel,36,0,0,0,0,0.000,62,313,878,4,JavaScript,false,0.000,0,0,Community-Supported Agriculture (CSA)
alextselegidis/easyappointments,4163,54,36,18,1,12.971,0,12,4168,94,PHP,false,72.000,2,4,Booking and Scheduling
easy-wi/developer,244,1,1,1,0,4.098,5,55,4632,42,PHP,false,16.000,0,0,Games
lin-snow/Ech0,1943,36,17,8,0,18.528,1,0,401,19,Go,false,85.000,6,399,Blogging Platforms
eclipse-che/che,7165,31,16,6,2,4.327,0,4,4048,164,TypeScript,false,67.000,5,7,Software Development
econumo/econumo,72,5,2,1,0,69.444,6,58,531,1,PHP,false,18.000,0,0,"Money, Budgeting & Management"
jortilles/EDA,191,3,1,1,0,15.707,1,1,2306,16,TypeScript,false,62.000,3,247,Analytics
EGroupware/egroupware,290,4,1,1,0,13.793,5,0,3635,33,PHP,false,72.000,6,154,Groupware
Eigenfocus/eigenfocus,922,8,5,3,0,8.677,1,0,475,2,Ruby,false,72.000,2,33,Software Development
processone/ejabberd,6654,39,16,9,0,5.861,1,4,5920,155,Erlang,false,65.000,3,29,Communication
elabftw/elabftw,1320,30,14,8,1,22.727,0,1,4880,55,PHP,false,85.000,4,68,Content Management Systems (CMS)
elastic/elasticsearch,76586,344,133,66,9,4.492,0,0,5920,4055,Java,false,100.000,158,1447,Search Engines
element-hq/element-web,13038,165,80,46,7,12.655,0,1,3931,612,TypeScript,false,100.000,19,269,Communication
Elgg/Elgg,1670,3,1,0,0,1.796,10,25,6075,82,PHP,false,23.000,2,18,Communication
LukeSmithxyz/emailwiz,2152,12,4,2,0,5.576,5,356,2525,41,Shell,false,16.000,0,0,Communication
emqx/emqx,16189,131,59,31,3,8.092,0,1,4877,146,Erlang,false,100.000,10,220,Internet of Things (IoT)
CorentinTh/enclosed,1981,23,11,5,0,11.610,2,277,611,22,TypeScript,false,25.000,0,0,File Transfer
endurain-project/endurain,1891,50,20,10,1,26.441,0,8,912,39,Python,false,55.000,1,1,Health and Fitness
engity-com/bifroest,78,1,0,0,0,12.821,16,2,664,6,Go,false,52.000,1,25,Remote Access
NuSkooler/enigma-bbs,638,17,3,1,0,26.646,4,1,3833,31,JavaScript,false,66.000,2,122,Communication
ente-io/ente,26132,648,280,112,12,24.797,0,0,1272,300,Dart,false,100.000,26,1084,Photo Galleries
eprints/eprints3.4,41,0,0,0,0,0.000,40,1,2959,18,Perl,false,42.000,2,9,Document Management
ergochat/ergo,3191,41,12,4,0,12.849,1,3,3666,54,Go,false,61.000,3,11,Communication
frappe/erpnext,33212,804,385,199,20,24.208,0,0,5436,734,Python,false,100.000,45,330,Resource Planning
erxes/erxes,3964,58,43,24,0,14.632,1,0,3453,191,TypeScript,false,100.000,24,206,Ticketing
KL-Psychological-Methodology/ESMira,22,1,1,1,0,45.455,1,10,2377,9,unknown,false,32.000,2,3,Miscellaneous
jonschoning/espial,885,1,0,0,0,1.130,28,1,2938,7,Haskell,false,44.000,1,2,Bookmarks and Link Sharing
espocrm/espocrm,2905,67,35,16,1,23.064,0,0,4230,57,PHP,false,100.000,5,199,Customer Relationship Management (CRM)
